product,brand,category,sub_category,description,text
Pickle - Garlic,Mother's Recipe,Snacks & Branded Foods,Pickles & Chutney,"Mothers Recipe Pickle - Garlic is prepared with Garlic cloves garnished with fenugreek, seasoned with chili powder & given the spicy part simply tempting. Experience the flavor of this Garlic Pickle once and you'll be under its spell forever.","Pickle - Garlic Mother's Recipe Snacks & Branded Foods Pickles & Chutney Mothers Recipe Pickle - Garlic is prepared with Garlic cloves garnished with fenugreek, seasoned with chili powder & given the spicy part simply tempting. Experience the flavor of this Garlic Pickle once and you'll be under its spell forever."
"Glass Water Bottle With Round Base - Green, B1366",BB Home,"Kitchen, Garden & Pets",Storage & Accessories,"A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is designed using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more. Keep your drinks fresh and preserve them for a long time.","Glass Water Bottle With Round Base - Green, B1366 BB Home Kitchen, Garden & Pets Storage & Accessories A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is designed using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more. Keep your drinks fresh and preserve them for a long time."
Go Zesty Orange - Active Hydration Drink With Zero Sugar & No Preservatives,Shunya,Beverages,Energy & Soft Drinks,"A zest for life with a citrusy twist, here’s an everyday health drink for those who want to do more! Shunya Go Zesty Orange is an everyday hydration drink for your active lifestyle. Its all-natural tangy flavour tingles your taste buds, adding an extra zing that keeps you on your toes. Our beverages are made with 0 calories, 0 sugar, 0 preservatives, and naturally sweetened with stevia. We skipped all the nasty stuff like artificial sweeteners, colours and flavours and kept all things good – like the great taste!
We loaded our drinks with the goodness 4 super herbs – 

Ashwagandha - for a boost of energy that also keeps you stress-free,
Brahmi - a tonic for the brain, Khus - to help regulate body temperature and
Kokum - that adds anti-ageing properties to the mix.

We took everyday hydration to the next level and packed it with vitamins (50% of your RDA), electrolytes like Calcium, Magnesium and Zinc (20% of your RDA), Himalayan Pink Salt with 84 trace minerals, and immunity-boosting antioxidants. We like to keep things moving! Guilt-free, sugar-free, active hydration for whatever you’re doing. Whether you’re running a marathon or just jumping out of bed, we’re here cheering you on. Feeling healthy just got a lot easier and way tastier.","Go Zesty Orange - Active Hydration Drink With Zero Sugar & No Preservatives Shunya Beverages Energy & Soft Drinks A zest for life with a citrusy twist, here’s an everyday health drink for those who want to do more! Shunya Go Zesty Orange is an everyday hydration drink for your active lifestyle. Its all-natural tangy flavour tingles your taste buds, adding an extra zing that keeps you on your toes. Our beverages are made with 0 calories, 0 sugar, 0 preservatives, and naturally sweetened with stevia. We skipped all the nasty stuff like artificial sweeteners, colours and flavours and kept all things good – like the great taste!
We loaded our drinks with the goodness 4 super herbs – 

Ashwagandha - for a boost of energy that also keeps you stress-free,
Brahmi - a tonic for the brain, Khus - to help regulate body temperature and
Kokum - that adds anti-ageing properties to the mix.

We took everyday hydration to the next level and packed it with vitamins (50% of your RDA), electrolytes like Calcium, Magnesium and Zinc (20% of your RDA), Himalayan Pink Salt with 84 trace minerals, and immunity-boosting antioxidants. We like to keep things moving! Guilt-free, sugar-free, active hydration for whatever you’re doing. Whether you’re running a marathon or just jumping out of bed, we’re here cheering you on. Feeling healthy just got a lot easier and way tastier."
Charcoal Face Scrub,INATUR ,Beauty & Hygiene,Skin Care,"A deeply cleansing and purifying cream based scrub that helps to slough away dead skin cells, leaving behind a glowing and nurtured complexion. Charcoal Scrub is enriched with Charcoal powder - acts as a magnet and soaks impurities & blackheads and prevents acne, Basil extracts - that has antioxidant and anti microbial properties, Lemon Oil - that has antiseptic and astringent qualities, Neem extracts - that has anti bacterial properties for clearer skin. It can be applied daily for a glowing complexion.","Charcoal Face Scrub INATUR  Beauty & Hygiene Skin Care A deeply cleansing and purifying cream based scrub that helps to slough away dead skin cells, leaving behind a glowing and nurtured complexion. Charcoal Scrub is enriched with Charcoal powder - acts as a magnet and soaks impurities & blackheads and prevents acne, Basil extracts - that has antioxidant and anti microbial properties, Lemon Oil - that has antiseptic and astringent qualities, Neem extracts - that has anti bacterial properties for clearer skin. It can be applied daily for a glowing complexion."
Eggs - Brown Shell,Mpm,"Eggs, Meat & Fish",Eggs,"The hen breed name is bv360 and is formerly known as giriraja eggs, it is natural egg no artificial colours of egg shells. The yellow yolk colour is lemon yellow and also this is export quality eggs.","Eggs - Brown Shell Mpm Eggs, Meat & Fish Eggs The hen breed name is bv360 and is formerly known as giriraja eggs, it is natural egg no artificial colours of egg shells. The yellow yolk colour is lemon yellow and also this is export quality eggs."
"Glass Water Bottle With Round Base - Yellow, B1366",BB Home,"Kitchen, Garden & Pets",Storage & Accessories,"A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is designed using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more. Keep your drinks fresh and preserve them for a long time.","Glass Water Bottle With Round Base - Yellow, B1366 BB Home Kitchen, Garden & Pets Storage & Accessories A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is designed using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more. Keep your drinks fresh and preserve them for a long time."
Almond/Badam Californian 500g + Cashew/Kaju Whole 500g,bb Royal,Gourmet & World Food,"Snacks, Dry Fruits, Nuts","EAN Code: 1202071  Country of origin: India  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com","Almond/Badam Californian 500g + Cashew/Kaju Whole 500g bb Royal Gourmet & World Food Snacks, Dry Fruits, Nuts EAN Code: 1202071  Country of origin: India  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com"
Green Tea With Tulsi,Sprig Tea,Beverages,Tea,"We all need some balance in life.
This remarkable everyday tea is a tonic for overall wellness. The combination of green tea and tulsi provides an array of benefits in every cleansing and healing cup. Tulsi is extolled in the Ayurveda, as a potent agent that supports the immune system, provides anti-oxidants and helps ease stress. Green tea is the mainstay of traditional Chinese medicine and is known to improve energy levels and promote a healthy metabolism. Balance may be consumed every day, supporting your quest for a healthier and more robust you.","Green Tea With Tulsi Sprig Tea Beverages Tea We all need some balance in life.
This remarkable everyday tea is a tonic for overall wellness. The combination of green tea and tulsi provides an array of benefits in every cleansing and healing cup. Tulsi is extolled in the Ayurveda, as a potent agent that supports the immune system, provides anti-oxidants and helps ease stress. Green tea is the mainstay of traditional Chinese medicine and is known to improve energy levels and promote a healthy metabolism. Balance may be consumed every day, supporting your quest for a healthier and more robust you."
Wipeout Germ Killing Foot Cream,MyGlamm,Beauty & Hygiene,Skin Care,"Stay safe every step of the way with the WIPEOUT Germ Killing Foot Cream by MyGlamm. This standout antimicrobial foot cream that features a base of emollient cocoa butter, infused with purifying lavender oil and anti-inflammatory ginger oil. It's also enriched with chlorhexidine to kill germs and blended with essential oils like tea tree, rosemary and eucalyptus to moisturize skin, relieve tired feet and reduce irritation.","Wipeout Germ Killing Foot Cream MyGlamm Beauty & Hygiene Skin Care Stay safe every step of the way with the WIPEOUT Germ Killing Foot Cream by MyGlamm. This standout antimicrobial foot cream that features a base of emollient cocoa butter, infused with purifying lavender oil and anti-inflammatory ginger oil. It's also enriched with chlorhexidine to kill germs and blended with essential oils like tea tree, rosemary and eucalyptus to moisturize skin, relieve tired feet and reduce irritation."
Skin Natutals - Gentle Soothing Face Wash,Garnier,Beauty & Hygiene,Skin Care,"Garnier gentle soothing face wash is a gentle yet effective daily face wash that respects all skin types. Its unique formula blends a soap-free gel with selected natural ingredients. Alpha hydroxy acid, extracted from fruits, helps your skin regain a healthy glow. A natural moisturizing agent counteracts the drying effect of water. A gentle cleansing agent respects your skins natural balance.","Skin Natutals - Gentle Soothing Face Wash Garnier Beauty & Hygiene Skin Care Garnier gentle soothing face wash is a gentle yet effective daily face wash that respects all skin types. Its unique formula blends a soap-free gel with selected natural ingredients. Alpha hydroxy acid, extracted from fruits, helps your skin regain a healthy glow. A natural moisturizing agent counteracts the drying effect of water. A gentle cleansing agent respects your skins natural balance."
Maxi Drai Wings Classic Sanitary Napkins,Bella,Beauty & Hygiene,Feminine Hygiene,"The only breathable classic sanitary napkins in India. Recommended for ladies who value security and prefer the traditional thickness of pads. These are air breathable napkins to ensure a higher level of dryness, keep right temperature and protect skin against irritations. The comfort cushion in the central part of the pad provides high absorption and feeling of dryness. Its leakage stop barriers are the new channel-like embossment prevents side leakages.It has a silky drai topsheet with thousands of micro funnels absorb in a moment to provide the feeling of ultimate dryness. The extra protective zone, an additional zone in maxi pads that perfectly protects against leakages and staining. Side wings ensure perfect fixation to underwear. It is recommended for night-time and heavy menstrual flow.","Maxi Drai Wings Classic Sanitary Napkins Bella Beauty & Hygiene Feminine Hygiene The only breathable classic sanitary napkins in India. Recommended for ladies who value security and prefer the traditional thickness of pads. These are air breathable napkins to ensure a higher level of dryness, keep right temperature and protect skin against irritations. The comfort cushion in the central part of the pad provides high absorption and feeling of dryness. Its leakage stop barriers are the new channel-like embossment prevents side leakages.It has a silky drai topsheet with thousands of micro funnels absorb in a moment to provide the feeling of ultimate dryness. The extra protective zone, an additional zone in maxi pads that perfectly protects against leakages and staining. Side wings ensure perfect fixation to underwear. It is recommended for night-time and heavy menstrual flow."
Schezwan Chilli Garlic Sauce,Grabenord,Snacks & Branded Foods,"Spreads, Sauces, Ketchup","Grabenord's Schezwan Chilly Garlic Sauce is a spicy and pungent sauce made with dry red chillies, garlic, ginger, onion and spices. It is a fusion Indo-Chinese recipe of a hot chilli sauce. Our sauce is a versatile red chilli garlic sauce and can also be had as a dip.","Schezwan Chilli Garlic Sauce Grabenord Snacks & Branded Foods Spreads, Sauces, Ketchup Grabenord's Schezwan Chilly Garlic Sauce is a spicy and pungent sauce made with dry red chillies, garlic, ginger, onion and spices. It is a fusion Indo-Chinese recipe of a hot chilli sauce. Our sauce is a versatile red chilli garlic sauce and can also be had as a dip."
"Moroccan Mint Green Tea - Rich In Antioxidants, Long Leaf, Pyramid Bags",Sancha,Gourmet & World Food,Drinks & Beverages,"100% rainforest alliance certified. Aids Weight Loss & Boosts Metabolism, Naturally Antioxidant-rich Green Tea, blended with real Mint Leaves. Enjoy this beverage to lighten up your day as it clears your mind and refreshes you for a sharper day Menthe Fresh, Cool & Alive","Moroccan Mint Green Tea - Rich In Antioxidants, Long Leaf, Pyramid Bags Sancha Gourmet & World Food Drinks & Beverages 100% rainforest alliance certified. Aids Weight Loss & Boosts Metabolism, Naturally Antioxidant-rich Green Tea, blended with real Mint Leaves. Enjoy this beverage to lighten up your day as it clears your mind and refreshes you for a sharper day Menthe Fresh, Cool & Alive"
"Steel Lid/Cover For Utensils, Kadai & Tope - No.14",BB Home,"Kitchen, Garden & Pets",Steel Utensils,"BB Home Tope Lid is made from sturdy, stainless steel that provides a good heat-resistant and also protects your food from foreign substances. Compatible with all heat sources, it ensures fast cooking even heat distribution. It acts as a strainer between rice and starch.","Steel Lid/Cover For Utensils, Kadai & Tope - No.14 BB Home Kitchen, Garden & Pets Steel Utensils BB Home Tope Lid is made from sturdy, stainless steel that provides a good heat-resistant and also protects your food from foreign substances. Compatible with all heat sources, it ensures fast cooking even heat distribution. It acts as a strainer between rice and starch."
Fragrance-Scented Oil - Lemon LMN BB 433,Love In Life,Cleaning & Household,Fresheners & Repellents,Give your body and hair a relaxing tone and massage with this lemon fragrance oil by Love In Life. Lemon oil helps to maintain a healthy state of skin and hair. This massage oil is good for soothing because of its natural warmth aroma. Lemons aroma is great for relaxing and winding down before bedtime. It creates the calming and soothing environment.,Fragrance-Scented Oil - Lemon LMN BB 433 Love In Life Cleaning & Household Fresheners & Repellents Give your body and hair a relaxing tone and massage with this lemon fragrance oil by Love In Life. Lemon oil helps to maintain a healthy state of skin and hair. This massage oil is good for soothing because of its natural warmth aroma. Lemons aroma is great for relaxing and winding down before bedtime. It creates the calming and soothing environment.
2 Minute Chicken Noodles,MAGGI ,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli","Hosteller, home alone or hungry in the middle of the night? Worry not, for you always have Maggi chicken noodles. A fun and flavorful snack, this product from Maggi are popular with consumers of all ages. Forget about complex cooking and long waits; with Maggi instant noodles, you can have a tasty treat in only 2 minutes. Each pack of Maggi noodles contains 4 noodle cakes and 4 tastemaker sachets inside. To get a nice and warm bowl of noodles, just follow the instructions on the pack. You can also bring your creative culinary skills into play by customizing the snack to your own taste. A convenient product, these chicken noodles are a sumptuous choice for those hangouts and surprise visits from friends. Rest assured - Your guests will lick their bowls clean, and so will you!","2 Minute Chicken Noodles MAGGI  Snacks & Branded Foods Noodle, Pasta, Vermicelli Hosteller, home alone or hungry in the middle of the night? Worry not, for you always have Maggi chicken noodles. A fun and flavorful snack, this product from Maggi are popular with consumers of all ages. Forget about complex cooking and long waits; with Maggi instant noodles, you can have a tasty treat in only 2 minutes. Each pack of Maggi noodles contains 4 noodle cakes and 4 tastemaker sachets inside. To get a nice and warm bowl of noodles, just follow the instructions on the pack. You can also bring your creative culinary skills into play by customizing the snack to your own taste. A convenient product, these chicken noodles are a sumptuous choice for those hangouts and surprise visits from friends. Rest assured - Your guests will lick their bowls clean, and so will you!"
Heart Oil - Vegetable,Sundrop,"Foodgrains, Oil & Masala",Edible Oils & Ghee,"Sundrop Heart is a scientific blend of physically refined rice bran oil (80%) and refined sunflower oil (20%).
It is rich in a bio-active component, Oryzanol, that helps reduce cholesterol levels and has been researched and scientifically proven to reduce Cholesterol in 30 Days.
Buy Sundrop Heart at a discounted price with this 3 Litre Super Savings Jar. Brought to you by Sundrop - Healthy Oil for Healthy People.","Heart Oil - Vegetable Sundrop Foodgrains, Oil & Masala Edible Oils & Ghee Sundrop Heart is a scientific blend of physically refined rice bran oil (80%) and refined sunflower oil (20%).
It is rich in a bio-active component, Oryzanol, that helps reduce cholesterol levels and has been researched and scientifically proven to reduce Cholesterol in 30 Days.
Buy Sundrop Heart at a discounted price with this 3 Litre Super Savings Jar. Brought to you by Sundrop - Healthy Oil for Healthy People."
Skin Fruits Oil Regulating Strawberry Scrub,Joy,Beauty & Hygiene,Skin Care,"Joy Skin Fruits Oil Regulating Strawberry Scrub regulates facial oil, removes surface grime and unclogs blocked pores. Active Fruit Boosters clear the skin off dead cells and reduce pore size making the skin firm and radiant. It is effective in clearing blackheads and reducing blemishes.","Skin Fruits Oil Regulating Strawberry Scrub Joy Beauty & Hygiene Skin Care Joy Skin Fruits Oil Regulating Strawberry Scrub regulates facial oil, removes surface grime and unclogs blocked pores. Active Fruit Boosters clear the skin off dead cells and reduce pore size making the skin firm and radiant. It is effective in clearing blackheads and reducing blemishes."
Bhujia Sev,Haldirams ,Snacks & Branded Foods,Snacks & Namkeen,"EAN Code: 401772  Country of origin: India  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com","Bhujia Sev Haldirams  Snacks & Branded Foods Snacks & Namkeen EAN Code: 401772  Country of origin: India  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com"
Khaas Shampoo Bar - Aloe Hibiscus,Stonesoup,Beauty & Hygiene,Hair Care,"Easy to use a bar with conditioner with zero waste and no non-sense, no sulphates, parabens and no plastic packaging. Unlike commercially made soaps, our soaps are passionately handcrafted with natural ingredients chunks of goodness that your scalp & hair would absolutely love & want more! Along with beautiful hair, these handmade soaps leave you with a sense of pride.
Aloe vera: Excellent natural conditioner, deeply moisturise hair, helps prevent hair loss. Encourages hair growth.
Hibiscus: Helps growth from dormant hair follicles, moisturises and nourishes the scalp. Prevents dandruff and itchiness. Adds Shine to the hair, nourishes to prevent hair frizziness and split ends.","Khaas Shampoo Bar - Aloe Hibiscus Stonesoup Beauty & Hygiene Hair Care Easy to use a bar with conditioner with zero waste and no non-sense, no sulphates, parabens and no plastic packaging. Unlike commercially made soaps, our soaps are passionately handcrafted with natural ingredients chunks of goodness that your scalp & hair would absolutely love & want more! Along with beautiful hair, these handmade soaps leave you with a sense of pride.
Aloe vera: Excellent natural conditioner, deeply moisturise hair, helps prevent hair loss. Encourages hair growth.
Hibiscus: Helps growth from dormant hair follicles, moisturises and nourishes the scalp. Prevents dandruff and itchiness. Adds Shine to the hair, nourishes to prevent hair frizziness and split ends."
Wet Cat Food Chicken In Gravy For Cats +1Year + Kittens 2-12 Months(12x85g each),Whiskas,"Kitchen, Garden & Pets",Pet Food & Accessories,"Whiskas Wet Cat Food - Chicken In Gravy, For Adult Cats, +1 Year x 85 g 12Whiskas Adult Gravy Food provides complete nutrition for your adult pet cat. A complete and balanced cat food, Whiskas gravy is designed to take care of your cat’s daily nutritional requirements and provide it with all the required vitamins and minerals along with moisture and nourishment for a healthy and happy life.
A cat's love for fish is thoughtfully blended with loads of calcium, phosphorus, proteins, antioxidants, vitamins & minerals, in each pack. It helps maintain its fur, heart-health, weight, skin, teeth, muscles, bones and overall immunity.
Whiskas gravy has a texture and aroma that appeals to the palate of your feline, and attracts even fussy eaters in for a filling and fun meal time!
Whiskas cat food is ideal for cat breeds from Persian Cat, British Shorthair to Siamese Cat.Whiskas Wet Cat Food - Chicken In Gravy, For Kittens, 2-12 Months x 85 g 12Whiskas Kitten Gravy Food provides complete nutrition for your pet kitten. A complete and balanced cat food, Whiskas gravy is designed to take care of your pet’s daily nutritional requirements and provide it with all the required vitamins and minerals along with moisture and nourishment for healthy growth and happy life.
A cat's love for fish is thoughtfully blended with loads of calcium, phosphorus, proteins, antioxidants, vitamins & minerals, in each pack. It helps maintain its fur and provides it with healthy bones and body growth, healthy immune system, and energy for play.
Whiskas gravy has a texture and aroma that appeals to the palate of your feline, and attracts even fussy eaters in for a filling and fun mealtime! Whiskas cat food is ideal for kitten breeds from Persian Cat, British Shorthair to Siamese Cat.","Wet Cat Food Chicken In Gravy For Cats +1Year + Kittens 2-12 Months(12x85g each) Whiskas Kitchen, Garden & Pets Pet Food & Accessories Whiskas Wet Cat Food - Chicken In Gravy, For Adult Cats, +1 Year x 85 g 12Whiskas Adult Gravy Food provides complete nutrition for your adult pet cat. A complete and balanced cat food, Whiskas gravy is designed to take care of your cat’s daily nutritional requirements and provide it with all the required vitamins and minerals along with moisture and nourishment for a healthy and happy life.
A cat's love for fish is thoughtfully blended with loads of calcium, phosphorus, proteins, antioxidants, vitamins & minerals, in each pack. It helps maintain its fur, heart-health, weight, skin, teeth, muscles, bones and overall immunity.
Whiskas gravy has a texture and aroma that appeals to the palate of your feline, and attracts even fussy eaters in for a filling and fun meal time!
Whiskas cat food is ideal for cat breeds from Persian Cat, British Shorthair to Siamese Cat.Whiskas Wet Cat Food - Chicken In Gravy, For Kittens, 2-12 Months x 85 g 12Whiskas Kitten Gravy Food provides complete nutrition for your pet kitten. A complete and balanced cat food, Whiskas gravy is designed to take care of your pet’s daily nutritional requirements and provide it with all the required vitamins and minerals along with moisture and nourishment for healthy growth and happy life.
A cat's love for fish is thoughtfully blended with loads of calcium, phosphorus, proteins, antioxidants, vitamins & minerals, in each pack. It helps maintain its fur and provides it with healthy bones and body growth, healthy immune system, and energy for play.
Whiskas gravy has a texture and aroma that appeals to the palate of your feline, and attracts even fussy eaters in for a filling and fun mealtime! Whiskas cat food is ideal for kitten breeds from Persian Cat, British Shorthair to Siamese Cat."
Fresh Spicy,Fogg ,Beauty & Hygiene,Men's Grooming,"Soothing experience throughout the day, Consists of refreshing & Long lasting fragrance.  For Beauty tips, tricks & more visit https://bigbasket.blog/","Fresh Spicy Fogg  Beauty & Hygiene Men's Grooming Soothing experience throughout the day, Consists of refreshing & Long lasting fragrance.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
Stainless Steel Lunch Box With Insulated Bag - HL-1351,Steel Lock,"Kitchen, Garden & Pets",Steel Utensils,"This Stainless Steel With plastic Lid and Silicone Seal has the unique Silicon which keeps food items fresh longer and it prevents spills. The insulated bag helps to preserve some hot temperature.The soft woven belt to carry with comfort over your shoulder/hand & high-quality zip. The special locking to stack each food container with sturdiness for complete meal car. It is ideal to carry meals/fruits or any food items to work, travel, school, college outing etc.","Stainless Steel Lunch Box With Insulated Bag - HL-1351 Steel Lock Kitchen, Garden & Pets Steel Utensils This Stainless Steel With plastic Lid and Silicone Seal has the unique Silicon which keeps food items fresh longer and it prevents spills. The insulated bag helps to preserve some hot temperature.The soft woven belt to carry with comfort over your shoulder/hand & high-quality zip. The special locking to stack each food container with sturdiness for complete meal car. It is ideal to carry meals/fruits or any food items to work, travel, school, college outing etc."
Cheese Makhana,FabBox,Gourmet & World Food,"Snacks, Dry Fruits, Nuts","Gluten-free roasted makhana seasoned with cheese flavour. Phool Makhana is among the most nutritious nuts in the world with anti-ageing benefits. Puffed lotus seeds spiked with cheese to stave off those hunger pangs. Your perfect companion to beat those mid work time hunger. Popped to perfection, our roasted cheese makhana is a snack high in protein, fibre, and anti-oxidants. Take a snack swap, move over popcorn! It is a gluten free snack that is high in protein and fibre. It contains no preservatives. The Phool Makhana is a healthy snack that is a healthier option than popcorn.","Cheese Makhana FabBox Gourmet & World Food Snacks, Dry Fruits, Nuts Gluten-free roasted makhana seasoned with cheese flavour. Phool Makhana is among the most nutritious nuts in the world with anti-ageing benefits. Puffed lotus seeds spiked with cheese to stave off those hunger pangs. Your perfect companion to beat those mid work time hunger. Popped to perfection, our roasted cheese makhana is a snack high in protein, fibre, and anti-oxidants. Take a snack swap, move over popcorn! It is a gluten free snack that is high in protein and fibre. It contains no preservatives. The Phool Makhana is a healthy snack that is a healthier option than popcorn."
Day & Night Nourishing Cream,Azafran,Beauty & Hygiene,Skin Care,A lightweight moisturizer that restores skin flexibility and suppleness. Five fruits extract to stimulate collagen synthesis and boost skin elasticity. Olive butter is a rich emollient and a good moisturizer. Squalane derived from rice bran hydrates skin with a luxurious texture. The nongreasy formulation makes it a perfect choice for daytime use. Apply in the night and wake up with a soft moisturized skin.,Day & Night Nourishing Cream Azafran Beauty & Hygiene Skin Care A lightweight moisturizer that restores skin flexibility and suppleness. Five fruits extract to stimulate collagen synthesis and boost skin elasticity. Olive butter is a rich emollient and a good moisturizer. Squalane derived from rice bran hydrates skin with a luxurious texture. The nongreasy formulation makes it a perfect choice for daytime use. Apply in the night and wake up with a soft moisturized skin.
Ayurvedic Pimple Treatment Kit,Just Herbs,Beauty & Hygiene,Skin Care,"This bespoke pimple treatment kit formulated specifically for acne/pimple prone skin contains
Silksplash Neem Orange Rehydrant Facewash (100 ml): An ideal rehydrant foaming Ayurvedic cleanser with the natural goodness of neem, Chandan (sandalwood) and honey. It gently removes the last traces of dust, grime and makeup residue, yet retaining the inherent moisture of the skin.
Advanced Ayurvedic Pimple Treatment (65 gm): 100% Natural with no added preservatives or colour. A synergistic blend of biologically active Indian herbs which regulates the excess flow of sebum. This pack also controls the growth of the bacterial population and the associated inflammations (redness). It effectively flushes out every trace of bacteria, grime, and excess oil from clogged pores thus preventing the formation of black or whiteheads and the consequent pore enlargement. It works hard on pimples deep down to soothe and heal the troubled skin from within.
Neempure Arjun-Nutmeg Skin Purifying Neem Pack (65 gm): A soothing pack with astringent properties of Arjuna, anti-inflammatory properties of Neem and antimicrobial action of the flower heads of Sphaeranthus Indicus is effective in healing wound and acne pathogenesis. It works deep down to heal the skin from within thus preventing pimples, blackheads and skin eruptions. Effectively sloughs away dead epithelial cells, polishes uneven texture and Nutmeg helps heal and fade acne marks.","Ayurvedic Pimple Treatment Kit Just Herbs Beauty & Hygiene Skin Care This bespoke pimple treatment kit formulated specifically for acne/pimple prone skin contains
Silksplash Neem Orange Rehydrant Facewash (100 ml): An ideal rehydrant foaming Ayurvedic cleanser with the natural goodness of neem, Chandan (sandalwood) and honey. It gently removes the last traces of dust, grime and makeup residue, yet retaining the inherent moisture of the skin.
Advanced Ayurvedic Pimple Treatment (65 gm): 100% Natural with no added preservatives or colour. A synergistic blend of biologically active Indian herbs which regulates the excess flow of sebum. This pack also controls the growth of the bacterial population and the associated inflammations (redness). It effectively flushes out every trace of bacteria, grime, and excess oil from clogged pores thus preventing the formation of black or whiteheads and the consequent pore enlargement. It works hard on pimples deep down to soothe and heal the troubled skin from within.
Neempure Arjun-Nutmeg Skin Purifying Neem Pack (65 gm): A soothing pack with astringent properties of Arjuna, anti-inflammatory properties of Neem and antimicrobial action of the flower heads of Sphaeranthus Indicus is effective in healing wound and acne pathogenesis. It works deep down to heal the skin from within thus preventing pimples, blackheads and skin eruptions. Effectively sloughs away dead epithelial cells, polishes uneven texture and Nutmeg helps heal and fade acne marks."
"LED Bulb - 0.5 Watt, Green, Deco Mini Base B22",Philips,"Kitchen, Garden & Pets",Appliances & Electricals,"LED light bulbs help you transform your living space with beautiful and warm lights. It offers numerous lighting possibilities and helps in saving up to 90% of energy consumption. The instant brightness of the light is able to create a comfortable environment in your home. LED bulbs help to emit cooler and more energising light. To enjoy a perfect light quality and no warm-up time, you should buy LED bulbs. Use the revolutionary Philips T-bulb for a wider light spread and aesthetic pleasure. Use the 0.5W LED Lamps as night-lamp, in the pooja room or for other decorative purposes.","LED Bulb - 0.5 Watt, Green, Deco Mini Base B22 Philips Kitchen, Garden & Pets Appliances & Electricals LED light bulbs help you transform your living space with beautiful and warm lights. It offers numerous lighting possibilities and helps in saving up to 90% of energy consumption. The instant brightness of the light is able to create a comfortable environment in your home. LED bulbs help to emit cooler and more energising light. To enjoy a perfect light quality and no warm-up time, you should buy LED bulbs. Use the revolutionary Philips T-bulb for a wider light spread and aesthetic pleasure. Use the 0.5W LED Lamps as night-lamp, in the pooja room or for other decorative purposes."
Cheese - Slices,D'Lecta,"Bakery, Cakes & Dairy",Dairy,"D'lecta cheese slices are 100% vegetarian and made from processed cheddar cheese.Each slice is individually wrapped to provide ease of use, this also guarantees less wastage. It provdes fresh flavour and superior rich taste. Club it with sandwiches, burgers and other snacks to experience the cheesy taste. It can be enjoyed directly as well.This cheese is made from cow’s milk & is enriched with proteins, calcium & nutrients","Cheese - Slices D'Lecta Bakery, Cakes & Dairy Dairy D'lecta cheese slices are 100% vegetarian and made from processed cheddar cheese.Each slice is individually wrapped to provide ease of use, this also guarantees less wastage. It provdes fresh flavour and superior rich taste. Club it with sandwiches, burgers and other snacks to experience the cheesy taste. It can be enjoyed directly as well.This cheese is made from cow’s milk & is enriched with proteins, calcium & nutrients"
OT 400GT Calculator,Orpat,Cleaning & Household,Stationery,"This OT 400GT Calculator has 120 Steps Check, 12 Digit Display Calculator with Dual Power - Solar & Cell. The big display makes more data easier to read. The auto replay automatically reviews the entire calculation and for clarification regarding the product.","OT 400GT Calculator Orpat Cleaning & Household Stationery This OT 400GT Calculator has 120 Steps Check, 12 Digit Display Calculator with Dual Power - Solar & Cell. The big display makes more data easier to read. The auto replay automatically reviews the entire calculation and for clarification regarding the product."
